Symbol,Name,IPO Year,Market Cap,Volume,Sector,Industry
PANA,Panacea Acquisition Corp. Class A Common Stock,2020,189914813,286188,Health Care,Major Pharmaceuticals
PANA.U,Panacea Acquisition Corp. Units each consisting of one share of Class A common stock and one-third of one redeemable warrant,2020,,0,,
PANA.WS,Panacea Acquisition Corp. Redeemable warrants each whole warrant exercisable for one share of Class A common stock at an exercise price of $11.50,,,0,,
PANW,Palo Alto Networks Inc. Common Stock,2012,34191182289,1587959,Technology,Computer peripheral equipment
PAR,PAR Technology Corporation Common Stock,,1442293371,175779,Miscellaneous,Office Equipment/Supplies/Services
PARR,Par Pacific Holdings Inc.  Common Stock,,740035487,261113,Energy,Oil & Gas Production
PB,Prosperity Bancshares Inc. Common Stock,,6306940142,509337,Finance,Major Banks
PBB,Prospect Capital Corporation 6.25% Notes due 2024,2015,0,4734,,
PBC,Prospect Capital Corporation 6.875% Notes due 2029,2018,0,9177,,
PBF,PBF Energy Inc. Class A Common Stock,2012,1141215278,13309361,Energy,Integrated oil Companies
PBH,Prestige Consumer Healthcare Inc. Common Stock,2005,2035216437,10069223,Health Care,Major Pharmaceuticals
PBI,Pitney Bowes Inc. Common Stock,,1604717454,9608867,Miscellaneous,Office Equipment/Supplies/Services
PBT,Permian Basin Royalty Trust Common Stock,,159402082,80850,Energy,Oil & Gas Production
PBY,Prospect Capital Corporation 6.25% Notes due 2028,2018,1301171062,1230,,
PCF,High Income Securities Fund Common Stock,,47692101,57346,,
PCG,Pacific Gas & Electric Co. Common Stock,,22941580983,13265755,Public Utilities,Power Generation
PCGU,Pacific Gas & Electric Co. Equity Unit,,0,14714,Public Utilities,Power Generation
PCK,Pimco California Municipal Income Fund II Common Shares of Beneficial Interest,2002,291150040,59650,,
PCM,PCM Fund Inc. Common Stock,1993,128663820,14007,,
PCN,Pimco Corporate & Income Strategy Fund Common Stock,2001,689714608,79070,,
PCQ,PIMCO California Municipal Income Fund Common Stock,2001,337350215,14209,,
PDAC,Peridot Acquisition Corp. Class A Ordinary Shares,2020,431250000,844724,Finance,Business Services
PDAC.U,Peridot Acquisition Corp. Units each consisting of one Class A ordinary share and one-half of one redeemable warrant,2020,,0,,
PDAC.WS,Peridot Acquisition Corp. Redeemable Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50,,,0,,
PDI,PIMCO Dynamic Income Fund Common Stock,2012,1731414873,284223,,
PDM,Piedmont Office Realty Trust Inc. Class A Common Stock,,1982432426,625177,Consumer Services,Building operators
